"MovieTitle","MovieReleaseDate","FirstName","LastName","DateOfBirth"
"Modern Times","1936-01-01","Charles","Chaplin","1991-04-20"
"Once Upon a Time in America","1984-01-01","Sergio","Leone","1998-05-16"
"Rear Window","1954-01-01","Alfred","Hitchcock","1984-06-11"
"Alien","1979-01-01","Ridley","Scott","1974-08-09"
"City Lights","1931-01-01","Charles","Chaplin","1991-04-20"
"Cinema Paradiso","1988-01-01","Giuseppe","Tornatore","1974-09-20"
"Memento","2000-01-01","Christopher","Nolan","1999-04-12"
"Apocalypse Now","1979-01-01","Francis","Ford Coppola","1987-05-10"
"Django Unchained","2012-01-01","Quentin","Tarantino","1966-07-26"
"WALL·E","2008-01-01","Andrew","Stanton","1984-08-26"
"The Lives of Others","2006-01-01","Florian","Henckel von Donnersmarck","1953-11-11"
"Sunset Blvd.","2012-01-01","Ulli","Lommel","1952-02-14"
"Paths of Glory","1957-01-01","Stanley","Kubrick","1983-08-11"
"The Shining","1980-01-01","Stanley","Kubrick","1983-08-11"
"The Great Dictator","1940-01-01","Charles","Chaplin","1991-04-20"
"Witness for the Prosecution","1957-01-01","Billy","Wilder","1955-04-20"
"Aliens","1986-01-01","James","Cameron","1987-04-26"
"American Beauty","1999-01-01","Sam","Mendes","1975-01-21"
"The Dark Knight Rises","2012-01-01","Christopher","Nolan","1999-04-12"
"Dr. Strangelove","2012-01-01","Keaton","Gover","1957-09-20"
"Dr. Strangelove","2012-01-01","Jack","Snelling","1987-04-18"
"Toy Story 3","2010-01-01","Lee","Unkrich","1984-10-08"
"Princess Mononoke","1997-01-01","Hayao","Miyazaki","1961-02-17"
"Braveheart","1995-01-01","Mel","Gibson","1978-11-26"
"Amélie","2001-01-01","Jean-Pierre","Jeunet","1993-08-22"
"Toy Story","1995-01-01","John","Lasseter","1966-06-20"
"Reservoir Dogs","1992-01-01","Quentin","Tarantino","1966-07-26"
"Your Name.","2016-01-01","Makoto","Shinkai","1962-07-07"
"Requiem for a Dream","2000-01-01","Darren","Aronofsky","1992-10-05"
"Das Boot","1981-01-01","Wolfgang","Petersen","1991-07-16"
"Star Wars: Episode VI - Return of the Jedi","1983-01-01","Richard","Marquand","1958-08-15"
"Oldboy","2003-01-01","Park","Chan-wook","1951-10-23"
"Singin' in the Rain","1952-01-01","Stanley","Donen","1968-08-16"
"Singin' in the Rain","1952-01-01","Gene","Kelly","1978-05-06"
"Coco","2017-01-01","Lee","Unkrich","1984-10-08"
"Coco","2017-01-01","Adrian","Molina","1981-10-12"
"Bicycle Thieves","1948-01-01","Vittorio","De Sica","1981-12-01"
"2001: A Space Odyssey","1968-01-01","Stanley","Kubrick","1983-08-11"
"The Sixth Sense","1999-01-01","M.","Night Shyamalan","1969-04-12"
"The Kid","1921-01-01","Charles","Chaplin","1991-04-20"
"Inglourious Basterds","2009-01-01","Quentin","Tarantino","1966-07-26"
"The Hunt","2012-01-01","Thomas","Vinterberg","1950-09-22"
"The Intouchables","2011-01-01","Olivier","Nakache","1995-08-10"
"The Intouchables","2011-01-01","Éric","Toledano","1973-04-26"
"Batman Begins","2005-01-01","Christopher","Nolan","1999-04-12"
"A Clockwork Orange","1971-01-01","Stanley","Kubrick","1983-08-11"
"Snatch","2000-01-01","Guy","Ritchie","1953-09-11"
"Amadeus","1984-01-01","Milos","Forman","1959-03-12"
"Three Billboards Outside Ebbing, Missouri","2017-01-01","Martin","McDonagh","1970-07-12"
"Eternal Sunshine of the Spotless Mind","2004-01-01","Michel","Gondry","1953-03-12"
"The Wolf of Wall Street","2013-01-01","Martin","Scorsese","1990-07-21"
"The Treasure of the Sierra Madre","1948-01-01","John","Huston","1972-06-26"
"North by Northwest","1959-01-01","Alfred","Hitchcock","1984-06-11"
"V for Vendetta","2005-01-01","James","McTeigue","1965-04-23"
"Raiders of the Lost Ark","1981-01-01","Steven","Spielberg","1986-08-22"
"The Thing","1982-01-01","John","Carpenter","1963-06-20"
"Scarface","1983-01-01","Brian","De Palma","1966-01-11"
"No Country for Old Men","2007-01-01","Ethan","Coen","1967-06-16"
"No Country for Old Men","2007-01-01","Joel","Coen","1965-06-16"
"Jaws","1975-01-01","Steven","Spielberg","1986-08-22"
"Raging Bull","1980-01-01","Martin","Scorsese","1990-07-21"
"Lock, Stock and Two Smoking Barrels","1998-01-01","Guy","Ritchie","1953-09-11"
"Fargo","1996-01-01","Joel","Coen","1965-06-16"
"Fargo","1996-01-01","Ethan","Coen","1967-06-16"
"The Elephant Man","1980-01-01","David","Lynch","1980-10-08"
"The Sting","1973-01-01","George","Roy Hill","1972-05-21"
"The Apartment","1960-01-01","Billy","Wilder","1955-04-20"
"The Iron Giant","1999-01-01","Brad","Bird","1994-01-19"
"Good Will Hunting","1997-01-01","Gus","Van Sant","1966-09-03"
"Die Hard","1988-01-01","John","McTiernan","1978-06-12"
"Indiana Jones and the Last Crusade","1989-01-01","Steven","Spielberg","1986-08-22"
"The General","1926-01-01","Clyde","Bruckman","1998-08-12"
"The General","1926-01-01","Buster","Keaton","1971-04-26"
"The Grand Budapest Hotel","2014-01-01","Wes","Anderson","1961-09-26"
"The Deer Hunter","1978-01-01","Michael","Cimino","1980-03-26"
"The Third Man","1949-01-01","Carol","Reed","1963-09-06"
"The Incredibles","2004-01-01","Brad","Bird","1994-01-19"
"The Exorcist","1973-01-01","William","Friedkin","1963-01-20"
"Warrior","2011-01-01","Gavin","O'Connor","1974-01-02"
"Trainspotting","1996-01-01","Danny","Boyle","1995-10-14"
"Children of Men","2006-01-01","Alfonso","Cuarón","1952-06-18"
"The Princess Bride","1987-01-01","Rob","Reiner","1986-02-20"
"The Terminator","1984-01-01","James","Cameron","1987-04-26"
"The Graduate","1967-01-01","Mike","Nichols","1992-03-28"
"Inside Out","2015-01-01","Pete","Docter","1989-02-20"
"Inside Out","2015-01-01","Ronnie","Del Carmen","1958-02-16"
"The Gold Rush","1925-01-01","Charles","Chaplin","1991-04-20"
"The Man Who Shot Liberty Valance","1962-01-01","John","Ford","1976-06-19"
"The Wizard of Oz","1939-01-01","Victor","Fleming","1969-12-18"
"The Wizard of Oz","1939-01-01","George","Cukor","1999-05-02"
"The Wizard of Oz","1939-01-01","Norman","Taurog","1977-10-19"
"The Hangover","2009-01-01","Todd","Phillips","1964-04-04"
"On the Waterfront","1954-01-01","Elia","Kazan","1962-10-12"
"Cool Hand Luke","1967-01-01","Stuart","Rosenberg","1960-08-22"
"The Passion of Joan of Arc","1928-01-01","Carl","Theodor Dreyer","1994-09-20"
"Up","2009-01-01","Pete","Docter","1989-02-20"
"Up","2009-01-01","Bob","Peterson","1955-10-26"
"The 400 Blows","1959-01-01","François","Truffaut","1984-05-10"
"Heat","1995-01-01","Michael","Mann","1967-03-25"
"Double Indemnity","1944-01-01","Billy","Wilder","1955-04-20"
"The Wild Bunch","1969-01-01","Sam","Peckinpah","1986-01-06"
"The Battle of Algiers","1966-01-01","Gillo","Pontecorvo","1956-09-06"
"The Wages of Fear","1953-01-01","Henri-Georges","Clouzot","1997-06-04"
"L.A. Confidential","1997-01-01","Curtis","Hanson","1981-05-26"
"The Bridge on the River Kwai","1957-01-01","David","Lean","1954-10-12"
"Dog Day Afternoon","1975-01-01","Sidney","Lumet","1971-09-22"
"The Night of the Hunter","1955-01-01","Charles","Laughton","1972-04-26"
"The Day the Earth Stood Still","2008-01-01","Scott","Derrickson","1951-03-26"
"The Best Years of Our Lives","1946-01-01","William","Wyler","1982-01-20"
"The Grapes of Wrath","1940-01-01","John","Ford","1976-06-19"
"The Manchurian Candidate","2004-01-01","Jonathan","Demme","1989-06-15"
"In the Name of the Father","1993-01-01","Jim","Sheridan","1984-12-12"
"The Straight Story","1999-01-01","David","Lynch","1980-10-08"
"Butch Cassidy and the Sundance Kid","1969-01-01","George","Roy Hill","1972-05-21"
"The French Connection","1971-01-01","William","Friedkin","1963-01-20"
"The King of Comedy","1982-01-01","Martin","Scorsese","1990-07-21"
"The Conversation","1974-01-01","Francis","Ford Coppola","1987-05-10"
"All About Eve","1950-01-01","Joseph","L. Mankiewicz","1995-06-26"
"The Maltese Falcon","1941-01-01","John","Huston","1972-06-26"
"The Lady Eve","1941-01-01","Preston","Sturges","1978-03-21"
"Sullivan's Travels","1941-01-01","Preston","Sturges","1978-03-21"
"The Shop Around the Corner","1940-01-01","Ernst","Lubitsch","1986-04-08"
"High Noon","1952-01-01","Fred","Zinnemann","1959-05-25"
"The Searchers","1956-01-01","John","Ford","1976-06-19"
"Rio Bravo","1959-01-01","Howard","Hawks","1955-04-27"
"The Alamo","2004-01-01","John","Lee Hancock","1986-06-11"
"Lawrence of Arabia","1962-01-01","David","Lean","1954-10-12"
"Doctor Zhivago","1965-01-01","David","Lean","1954-10-12"
"The Sound of Music","1965-01-01","Robert","Wise","1962-02-21"
"West Side Story","1961-01-01","Jerome","Robbins","1961-08-02"
"West Side Story","1961-01-01","Robert","Wise","1962-02-21"
"My Fair Lady","1964-01-01","George","Cukor","1999-05-02"
"Mary Poppins","1964-01-01","Robert","Stevenson","1969-02-26"
"The Music Man","1962-01-01","Morton","DaCosta","1992-09-18"
"The Longest Day","1962-01-01","Ken","Annakin","1972-09-20"
"The Longest Day","1962-01-01","Andrew","Marton","1966-08-26"
"The Longest Day","1962-01-01","Gerd","Oswald","1986-05-13"
"How the West Was Won","1962-01-01","John","Ford","1976-06-19"
"How the West Was Won","1962-01-01","Henry","Hathaway","1973-06-23"
"How the West Was Won","1962-01-01","George","Marshall","1953-05-21"
"The Great Escape","1963-01-01","John","Sturges","1980-06-21"
"To Kill a Mockingbird","1962-01-01","Robert","Mulligan","1979-02-12"
"The Birds","1963-01-01","Alfred","Hitchcock","1984-06-11"
"Marnie","1964-01-01","Alfred","Hitchcock","1984-06-11"
"Frenzy","1972-01-01","Alfred","Hitchcock","1984-06-11"
"Family Plot","1976-01-01","Alfred","Hitchcock","1984-06-11"
"Vertigo","1958-01-01","Alfred","Hitchcock","1984-06-11"
"Rebel Without a Cause","1955-01-01","Nicholas","Ray","1999-04-23"
"East of Eden","1955-01-01","Elia","Kazan","1962-10-12"
"Giant","1956-01-01","George","Stevens","1977-05-02"
"A Place in the Sun","1951-01-01","George","Stevens","1977-05-02"
"Sunset Boulevard","1950-01-01","Billy","Wilder","1955-04-20"
"The Asphalt Jungle","1950-01-01","John","Huston","1972-06-26"
"White Heat","1949-01-01","Raoul","Walsh","1958-12-24"
"The Set-Up","1949-01-01","Robert","Wise","1962-02-21"
"Force of Evil","1948-01-01","Abraham","Polonsky","1979-08-05"
"Brute Force","1947-01-01","Jules","Dassin","1957-12-20"
"The Naked City","1948-01-01","Jules","Dassin","1957-12-20"
"Call Northside 777","1948-01-01","Henry","Hathaway","1973-06-23"
"Boomerang!","1947-01-01","Elia","Kazan","1962-10-12"
"The Big Heat","1953-01-01","Fritz","Lang","1995-05-18"
"On Dangerous Ground","1951-01-01","Nicholas","Ray","1999-04-23"
"On Dangerous Ground","1951-01-01","Ida","Lupino","1983-06-26"
"Pickup on South Street","1953-01-01","Samuel","Fuller","1965-01-20"
"Nightfall","1956-01-01","Jacques","Tourneur","1966-04-08"
"The Narrow Margin","1952-01-01","Richard","Fleischer","1950-08-20"
"The Narrow Margin","1952-01-01","William","Cameron Menzies","1973-01-21"
"Crime Wave","1953-01-01","André","De Toth","1970-08-25"
"The Big Combo","1955-01-01","Joseph","H. Lewis","1965-06-25"
"Kiss Me Deadly","1955-01-01","Robert","Aldrich","1999-02-08"
"Touch of Evil","1958-01-01","Orson","Welles","1981-02-21"
"Sweet Smell of Success","1957-01-01","Alexander","Mackendrick","1964-06-11"
"The Wrong Man","1956-01-01","Alfred","Hitchcock","1984-06-11"
"Anatomy of a Murder","1959-01-01","Otto","Preminger","1991-04-20"
"In Cold Blood","1967-01-01","Richard","Brooks","1957-08-27"
"Bullitt","1968-01-01","Peter","Yates","1962-02-21"
"Dirty Harry","1971-01-01","Don","Siegel","1972-12-14"
"Dirty Harry","1971-01-01","Clint","Eastwood","1976-08-16"
"Serpico","1973-01-01","Sidney","Lumet","1971-09-22"
"Prince of the City","1981-01-01","Sidney","Lumet","1971-09-22"
"The Untouchables","1987-01-01","Brian","De Palma","1966-01-11"
"Zodiac","2007-01-01","David","Fincher","1973-10-20"
"Gone Girl","2014-01-01","David","Fincher","1973-10-20"
"Prisoners","2013-01-01","Denis","Villeneuve","1986-02-24"
"The Girl with the Dragon Tattoo","2011-01-01","David","Fincher","1973-10-20"
"Mystic River","2003-01-01","Clint","Eastwood","1976-08-16"
"The Town","2010-01-01","Ben","Affleck","1993-12-11"
"Shutter Island","2010-01-01","Martin","Scorsese","1990-07-21"
"Insomnia","2002-01-01","Christopher","Nolan","1999-04-12"
"Dunkirk","2017-01-01","Christopher","Nolan","1999-04-12"
"Tenet","2020-01-01","Christopher","Nolan","1999-04-12"
"Oppenheimer","2023-01-01","Christopher","Nolan","1999-04-12"
"The Revenant","2015-01-01","Alejandro","G. Iñárritu","1998-06-10"
"Birdman or (The Unexpected Virtue of Ignorance)","2014-01-01","Alejandro","G. Iñárritu","1998-06-10"
"Moonlight","2016-01-01","Barry","Jenkins","1966-08-02"
"La La Land","2016-01-01","Damien","Chazelle","1980-10-14"
"Manchester by the Sea","2016-01-01","Kenneth","Lonergan","1971-09-12"
"Call Me by Your Name","2017-01-01","Luca","Guadagnino","1992-02-26"
"Lady Bird","2017-01-01","Greta","Gerwig","1994-06-13"
"Phantom Thread","2017-01-01","Paul","Thomas Anderson","1962-10-26"
"The Shape of Water","2017-01-01","Guillermo","del Toro","1987-09-02"
