"MovieTitle","MovieReleaseDate","FirstName","LastName","DateOfBirth"
"Scarface","1983-01-01","Ben","Hecht","1951-12-25"
"No Country for Old Men","2007-01-01","Joel","Coen","1965-06-16"
"No Country for Old Men","2007-01-01","Ethan","Coen","1967-06-16"
"No Country for Old Men","2007-01-01","Cormac","McCarthy","1974-11-02"
"Jaws","1975-01-01","Peter","Benchley","1954-02-27"
"Jaws","1975-01-01","Carl","Gottlieb","1994-09-04"
"Raging Bull","1980-01-01","Jake","LaMotta","1951-04-18"
"Raging Bull","1980-01-01","Joseph","Carter","1958-06-20"
"Raging Bull","1980-01-01","Peter","Savage","1993-02-09"
"Lock, Stock and Two Smoking Barrels","1998-01-01","Guy","Ritchie","1953-09-11"
"Fargo","1996-01-01","Ethan","Coen","1967-06-16"
"Fargo","1996-01-01","Joel","Coen","1965-06-16"
"The Elephant Man","1980-01-01","Christopher","De Vore","1958-04-20"
"The Elephant Man","1980-01-01","Eric","Bergren","1978-04-16"
"The Elephant Man","1980-01-01","David","Lynch","1980-10-08"
"The Sting","1973-01-01","David","S. Ward","1979-10-19"
"The Apartment","1960-01-01","Billy","Wilder","1955-04-20"
"The Apartment","1960-01-01","I.A.L.","Diamond","1984-12-15"
"The Iron Giant","1999-01-01","Tim","McCanlies","1959-10-21"
"The Iron Giant","1999-01-01","Brad","Bird","1994-01-19"
"The Iron Giant","1999-01-01","Ted","Hughes","1979-06-21"
"Good Will Hunting","1997-01-01","Matt","Damon","1983-07-26"
"Good Will Hunting","1997-01-01","Ben","Affleck","1993-12-11"
"Die Hard","1988-01-01","Roderick","Thorp","1976-02-03"
"Die Hard","1988-01-01","Jeb","Stuart","1998-08-07"
"Die Hard","1988-01-01","Steven","E. de Souza","1971-08-24"
"Indiana Jones and the Last Crusade","1989-01-01","Jeffrey","Boam","1980-08-11"
"Indiana Jones and the Last Crusade","1989-01-01","George","Lucas","1987-05-17"
"Indiana Jones and the Last Crusade","1989-01-01","Menno","Meyjes","1962-11-21"
"The General","1926-01-01","Buster","Keaton","1971-04-26"
"The General","1926-01-01","Clyde","Bruckman","1998-08-12"
"The General","1926-01-01","Al","Boasberg","1960-06-22"
"The Grand Budapest Hotel","2014-01-01","Stefan","Zweig","1959-08-13"
"The Grand Budapest Hotel","2014-01-01","Wes","Anderson","1961-09-26"
"The Grand Budapest Hotel","2014-01-01","Hugo","Guinness","1979-10-07"
"The Deer Hunter","1978-01-01","Michael","Cimino","1980-03-26"
"The Deer Hunter","1978-01-01","Deric","Washburn","1961-02-01"
"The Deer Hunter","1978-01-01","Louis","Garfinkle","1971-08-14"
"The Third Man","1949-01-01","Graham","Greene","1972-06-16"
"The Third Man","1949-01-01","Orson","Welles","1981-02-21"
"The Third Man","1949-01-01","Alexander","Korda","1995-06-02"
"The Incredibles","2004-01-01","Brad","Bird","1994-01-19"
"The Exorcist","1973-01-01","William","Peter Blatty","1969-01-14"
"Warrior","2011-01-01","Gavin","O'Connor","1974-01-02"
"Warrior","2011-01-01","Anthony","Tambakis","1981-08-25"
"Warrior","2011-01-01","Cliff","Dorfman","1977-08-12"
"Trainspotting","1996-01-01","Irvine","Welsh","1968-08-24"
"Trainspotting","1996-01-01","John","Hodge","1968-06-09"
"Children of Men","2006-01-01","Alfonso","Cuarón","1952-06-18"
"Children of Men","2006-01-01","Timothy","J. Sexton","1975-10-26"
"Children of Men","2006-01-01","David","Arata","1959-10-18"
"The Princess Bride","1987-01-01","William","Goldman","1957-01-12"
"The Terminator","1984-01-01","James","Cameron","1987-04-26"
"The Terminator","1984-01-01","Gale","Anne Hurd","1980-01-19"
"The Terminator","1984-01-01","William","Wisher","1977-01-20"
"The Graduate","1967-01-01","Calder","Willingham","1955-09-11"
"The Graduate","1967-01-01","Buck","Henry","1989-04-12"
"The Graduate","1967-01-01","Charles","Webb","1972-04-01"
"Inside Out","2015-01-01","Pete","Docter","1989-02-20"
"Inside Out","2015-01-01","Ronnie","Del Carmen","1958-02-16"
"Inside Out","2015-01-01","Meg","LeFauve","1993-11-24"
"The Gold Rush","1925-01-01","Charles","Chaplin","1991-04-20"
"The Man Who Shot Liberty Valance","1962-01-01","James","Warner Bellah","1967-04-06"
"The Man Who Shot Liberty Valance","1962-01-01","Willis","Goldbeck","1955-01-11"
"The Man Who Shot Liberty Valance","1962-01-01","Dorothy","M. Johnson","1967-12-26"
"The Wizard of Oz","1939-01-01","Noel","Langley","1996-10-27"
"The Wizard of Oz","1939-01-01","Florence","Ryerson","1950-11-26"
"The Wizard of Oz","1939-01-01","Edgar","Allan Woolf","1954-02-15"
"The Hangover","2009-01-01","Jon","Lucas","1981-06-17"
"The Hangover","2009-01-01","Scott","Moore","1971-03-20"
"On the Waterfront","1954-01-01","Budd","Schulberg","1992-04-22"
"On the Waterfront","1954-01-01","Malcolm","Johnson","1976-07-26"
"On the Waterfront","1954-01-01","Robert","Siodmak","1966-02-09"
"Cool Hand Luke","1967-01-01","Donn","Pearce","1973-12-05"
"Cool Hand Luke","1967-01-01","Frank","Pierson","1966-05-26"
"Cool Hand Luke","1967-01-01","Hal","Dresner","1982-02-20"
"The Passion of Joan of Arc","1928-01-01","Joseph","Delteil","1956-06-18"
"The Passion of Joan of Arc","1928-01-01","Carl","Theodor Dreyer","1994-09-20"
"Up","2009-01-01","Pete","Docter","1989-02-20"
"Up","2009-01-01","Bob","Peterson","1955-10-26"
"Up","2009-01-01","Tom","McCarthy","1981-04-02"
"The 400 Blows","1959-01-01","François","Truffaut","1984-05-10"
"The 400 Blows","1959-01-01","Marcel","Moussy","1984-07-13"
"Heat","1995-01-01","Michael","Mann","1967-03-25"
"Double Indemnity","1944-01-01","Billy","Wilder","1955-04-20"
"Double Indemnity","1944-01-01","Raymond","Chandler","1963-12-20"
"Double Indemnity","1944-01-01","James","M. Cain","1962-04-20"
"The Wild Bunch","1969-01-01","Walon","Green","1992-05-16"
"The Wild Bunch","1969-01-01","Sam","Peckinpah","1986-01-06"
"The Wild Bunch","1969-01-01","Roy","N. Sickner","1971-02-20"
"The Battle of Algiers","1966-01-01","Franco","Solinas","1962-05-17"
"The Battle of Algiers","1966-01-01","Gillo","Pontecorvo","1956-09-06"
"The Wages of Fear","1953-01-01","Georges","Arnaud","1951-05-22"
"The Wages of Fear","1953-01-01","Henri-Georges","Clouzot","1997-06-04"
"The Wages of Fear","1953-01-01","Jérôme","Géronimi","1965-08-19"
"L.A. Confidential","1997-01-01","James","Ellroy","1959-04-09"
"L.A. Confidential","1997-01-01","Brian","Helgeland","1974-01-15"
"L.A. Confidential","1997-01-01","Curtis","Hanson","1981-05-26"
"The Bridge on the River Kwai","1957-01-01","Pierre","Boulle","1958-06-14"
"The Bridge on the River Kwai","1957-01-01","Carl","Foreman","1980-09-12"
"The Bridge on the River Kwai","1957-01-01","Michael","Wilson","1959-03-26"
"Dog Day Afternoon","1975-01-01","Frank","Pierson","1966-05-26"
"Dog Day Afternoon","1975-01-01","P.F.","Kluge","1978-07-09"
"Dog Day Afternoon","1975-01-01","Thomas","Moore","1966-09-20"
"The Night of the Hunter","1955-01-01","Davis","Grubb","1983-10-01"
"The Night of the Hunter","1955-01-01","James","Agee","1998-04-07"
"The Night of the Hunter","1955-01-01","Charles","Laughton","1972-04-26"
"The Day the Earth Stood Still","2008-01-01","David","Scarpa","1972-10-14"
"The Day the Earth Stood Still","2008-01-01","Edmund","H. North","1960-02-25"
"The Best Years of Our Lives","1946-01-01","Robert","E. Sherwood","1994-02-16"
"The Best Years of Our Lives","1946-01-01","MacKinlay","Kantor","1994-07-02"
"The Grapes of Wrath","1940-01-01","Nunnally","Johnson","1966-04-26"
"The Grapes of Wrath","1940-01-01","John","Steinbeck","1951-06-11"
"The Manchurian Candidate","2004-01-01","Richard","Condon","1992-08-26"
"The Manchurian Candidate","2004-01-01","George","Axelrod","1952-05-16"
"The Manchurian Candidate","2004-01-01","Daniel","Pyne","1983-10-16"
"In the Name of the Father","1993-01-01","Gerry","Conlon","1970-05-26"
"In the Name of the Father","1993-01-01","Terry","George","1967-06-09"
"In the Name of the Father","1993-01-01","Jim","Sheridan","1984-12-12"
"The Straight Story","1999-01-01","John","Roach","1974-06-08"
"The Straight Story","1999-01-01","Mary","Sweeney","1977-07-27"
"Butch Cassidy and the Sundance Kid","1969-01-01","William","Goldman","1957-01-12"
"The French Connection","1971-01-01","Ernest","Tidyman","1983-04-12"
"The French Connection","1971-01-01","Robin","Moore","1952-02-20"
"The French Connection","1971-01-01","William","Friedkin","1963-01-20"
"The King of Comedy","1982-01-01","Paul","D. Zimmerman","1974-10-12"
"The Conversation","1974-01-01","Francis","Ford Coppola","1987-05-10"
"All About Eve","1950-01-01","Joseph","L. Mankiewicz","1995-06-26"
"All About Eve","1950-01-01","Mary","Orr","1998-07-05"
"The Maltese Falcon","1941-01-01","John","Huston","1972-06-26"
"The Maltese Falcon","1941-01-01","Dashiell","Hammett","1958-10-09"
"The Lady Eve","1941-01-01","Monckton","Hoffe","1961-09-08"
"The Lady Eve","1941-01-01","Preston","Sturges","1978-03-21"
"Sullivan's Travels","1941-01-01","Preston","Sturges","1978-03-21"
"The Shop Around the Corner","1940-01-01","Samson","Raphaelson","1994-01-26"
"The Shop Around the Corner","1940-01-01","Miklós","László","1976-03-16"
"The Shop Around the Corner","1940-01-01","Ben","Hecht","1951-12-25"
"High Noon","1952-01-01","Carl","Foreman","1980-09-12"
"High Noon","1952-01-01","John","W. Cunningham","1978-06-11"
"The Searchers","1956-01-01","Frank","S. Nugent","1966-05-03"
"The Searchers","1956-01-01","Alan","Le May","1966-06-23"
"Rio Bravo","1959-01-01","Jules","Furthman","1984-12-12"
"Rio Bravo","1959-01-01","Leigh","Brackett","1987-10-09"
"Rio Bravo","1959-01-01","B.H.","McCampbell","1988-05-21"
"The Alamo","2004-01-01","Leslie","Bohem","1979-10-15"
"The Alamo","2004-01-01","Stephen","Gaghan","1991-08-12"
"The Alamo","2004-01-01","John","Lee Hancock","1986-06-11"
"Lawrence of Arabia","1962-01-01","Robert","Bolt","1955-02-01"
"Lawrence of Arabia","1962-01-01","Michael","Wilson","1959-03-26"
"Doctor Zhivago","1965-01-01","Boris","Pasternak","1980-10-09"
"Doctor Zhivago","1965-01-01","Robert","Bolt","1955-02-01"
"The Sound of Music","1965-01-01","Georg","Hurdalek","1998-05-13"
"The Sound of Music","1965-01-01","Howard","Lindsay","1969-04-23"
"The Sound of Music","1965-01-01","Russel","Crouse","1995-08-21"
"West Side Story","1961-01-01","Ernest","Lehman","1954-04-12"
"West Side Story","1961-01-01","Arthur","Laurents","1958-12-08"
"West Side Story","1961-01-01","Jerome","Robbins","1961-08-02"
"My Fair Lady","1964-01-01","Alan","Jay Lerner","1952-06-20"
"My Fair Lady","1964-01-01","George","Bernard Shaw","1970-05-21"
"Mary Poppins","1964-01-01","Bill","Walsh","1980-04-24"
"Mary Poppins","1964-01-01","Don","DaGradi","1973-12-10"
"Mary Poppins","1964-01-01","P.L.","Travers","1973-07-06"
"The Music Man","1962-01-01","Meredith","Willson","1994-11-26"
"The Music Man","1962-01-01","Franklin","Lacey","1997-05-27"
"The Music Man","1962-01-01","Marion","Hargrove","1976-07-24"
"The Longest Day","1962-01-01","Cornelius","Ryan","1990-11-12"
"The Longest Day","1962-01-01","Romain","Gary","1999-02-12"
"The Longest Day","1962-01-01","James","Jones","1989-04-21"
"How the West Was Won","1962-01-01","James","R. Webb","1972-04-01"
"How the West Was Won","1962-01-01","John","Gay","1970-06-23"
"The Great Escape","1963-01-01","Paul","Brickhill","1950-10-21"
"The Great Escape","1963-01-01","James","Clavell","1985-04-21"
"The Great Escape","1963-01-01","W.R.","Burnett","1983-02-09"
"To Kill a Mockingbird","1962-01-01","Harper","Lee","1970-02-07"
"To Kill a Mockingbird","1962-01-01","Horton","Foote","1975-04-22"
"The Birds","1963-01-01","Daphne","Du Maurier","1966-10-20"
"The Birds","1963-01-01","Evan","Hunter","1956-08-20"
"Marnie","1964-01-01","Winston","Graham","1978-01-11"
"Marnie","1964-01-01","Jay","Presson Allen","1994-04-16"
"Frenzy","1972-01-01","Arthur","La Bern","1958-12-01"
"Frenzy","1972-01-01","Anthony","Shaffer","1972-08-20"
"Family Plot","1976-01-01","Ernest","Lehman","1954-04-12"
"Family Plot","1976-01-01","Victor","Canning","1965-12-18"
"Vertigo","1958-01-01","Alec","Coppel","1966-06-14"
"Vertigo","1958-01-01","Samuel","A. Taylor","1975-01-02"
"Vertigo","1958-01-01","Pierre","Boileau","1952-06-19"
"Rebel Without a Cause","1955-01-01","Stewart","Stern","1952-08-01"
"Rebel Without a Cause","1955-01-01","Irving","Shulman","1983-08-12"
"Rebel Without a Cause","1955-01-01","Nicholas","Ray","1999-04-23"
"East of Eden","1955-01-01","John","Steinbeck","1951-06-11"
"East of Eden","1955-01-01","Paul","Osborn","1961-10-01"
"Giant","1956-01-01","Edna","Ferber","1956-02-20"
"Giant","1956-01-01","Fred","Guiol","1979-05-24"
"Giant","1956-01-01","Ivan","Moffat","1985-12-18"
"A Place in the Sun","1951-01-01","Theodore","Dreiser","1976-09-20"
"A Place in the Sun","1951-01-01","Patrick","Kearney","1969-10-27"
"A Place in the Sun","1951-01-01","Michael","Wilson","1959-03-26"
"Sunset Boulevard","1950-01-01","Charles","Brackett","1954-04-09"
"Sunset Boulevard","1950-01-01","Billy","Wilder","1955-04-20"
"Sunset Boulevard","1950-01-01","D.M.","Marshman Jr.","1958-07-21"
"The Asphalt Jungle","1950-01-01","Ben","Maddow","1963-12-07"
"The Asphalt Jungle","1950-01-01","John","Huston","1972-06-26"
"The Asphalt Jungle","1950-01-01","W.R.","Burnett","1983-02-09"
"White Heat","1949-01-01","Ivan","Goff","1966-12-09"
"White Heat","1949-01-01","Ben","Roberts","1996-12-08"
"White Heat","1949-01-01","Virginia","Kellogg","1966-12-11"
"The Set-Up","1949-01-01","Art","Cohn","1969-12-19"
"The Set-Up","1949-01-01","Joseph","Moncure March","1951-06-08"
"Force of Evil","1948-01-01","Abraham","Polonsky","1979-08-05"
"Force of Evil","1948-01-01","Ira","Wolfert","1955-08-07"
"Brute Force","1947-01-01","Richard","Brooks","1957-08-27"
"Brute Force","1947-01-01","Robert","Patterson","1964-02-26"
